arm,repeat,sample_ms
hybrid,1,4.9940
hybrid,1,4.2570
hybrid,1,5.9970
hybrid,1,5.6520
hybrid,1,4.2720
hybrid,1,5.0620
hybrid,1,4.0150
hybrid,1,4.1630
hybrid,1,4.4160
hybrid,1,4.1120
hybrid,1,4.0880
hybrid,1,4.4100
hybrid,1,3.7480
hybrid,1,4.6800
hybrid,1,4.3340
hybrid,1,3.7940
hybrid,1,4.4760
hybrid,1,4.4350
hybrid,1,4.8630
hybrid,1,3.9410
hybrid,1,3.8290
hybrid,1,4.2450
hybrid,1,4.1990
hybrid,1,4.8690
hybrid,1,3.9560
hybrid,1,4.3390
hybrid,1,4.9950
hybrid,1,6.4920
hybrid,1,4.7920
hybrid,1,5.9970
hybrid,1,5.2790
hybrid,1,4.7760
hybrid,1,4.3530
hybrid,1,3.5210
hybrid,1,4.9180
hybrid,1,4.4370
hybrid,1,5.4040
hybrid,1,3.8680
hybrid,1,3.6120
hybrid,1,4.9990
hybrid,1,5.2300
hybrid,1,4.3200
hybrid,1,6.5910
hybrid,1,3.6280
hybrid,1,3.7910
hybrid,1,3.7130
hybrid,1,4.2360
hybrid,1,3.9280
hybrid,1,4.0760
hybrid,1,3.8980
hybrid,1,3.9690
hybrid,1,4.1370
hybrid,1,4.6430
hybrid,1,4.2830
hybrid,1,4.6210
hybrid,1,5.0930
hybrid,1,7.2960
hybrid,1,4.2890
hybrid,1,4.0220
hybrid,1,4.0080
hybrid,1,3.6610
hybrid,1,3.9710
hybrid,1,4.2680
hybrid,1,4.0250
hybrid,1,5.0110
hybrid,1,4.1100
hybrid,1,6.5060
hybrid,1,3.6840
hybrid,1,4.2520
hybrid,1,4.1520
hybrid,1,5.4470
hybrid,1,4.0400
hybrid,1,3.3490
hybrid,1,4.3240
hybrid,1,5.8190
hybrid,1,4.6610
hybrid,1,5.1520
hybrid,1,4.6720
hybrid,1,5.6800
hybrid,1,3.4400
hybrid,1,4.2490
hybrid,1,4.5100
hybrid,1,8.0790
hybrid,1,4.5470
hybrid,1,5.8330
hybrid,1,4.5350
hybrid,1,3.6810
hybrid,1,4.8720
hybrid,1,4.7030
hybrid,1,5.4950
hybrid,1,4.1870
hybrid,1,6.9220
hybrid,1,4.6560
hybrid,1,5.1260
hybrid,1,3.8180
hybrid,1,3.5720
hybrid,1,3.7610
hybrid,1,5.3140
hybrid,1,3.7610
hybrid,1,6.4550
hybrid,1,4.0400
hybrid,1,5.2150
hybrid,1,3.9260
hybrid,1,3.6550
hybrid,1,5.5910
hybrid,1,3.7290
hybrid,1,4.8560
hybrid,1,4.1770
hybrid,1,3.8450
hybrid,1,4.0350
hybrid,1,3.6050
hybrid,1,3.8690
hybrid,1,4.5170
hybrid,1,3.9880
hybrid,1,5.0700
hybrid,1,4.6670
hybrid,1,5.0020
hybrid,1,6.1170
hybrid,1,4.9470
hybrid,1,5.0010
hybrid,1,3.6580
hybrid,1,4.1190
hybrid,1,5.9910
hybrid,1,5.9680
hybrid,1,5.1420
hybrid,1,5.9780
hybrid,1,6.2890
hybrid,1,3.5920
hybrid,1,4.6230
hybrid,1,4.9200
hybrid,1,4.3990
hybrid,1,5.9510
hybrid,1,4.0720
hybrid,1,5.2530
hybrid,1,3.9030
hybrid,1,4.2920
hybrid,1,3.8770
hybrid,1,3.7290
hybrid,1,5.0390
hybrid,1,4.6090
hybrid,1,6.8630
hybrid,1,5.4270
hybrid,1,3.6890
hybrid,1,4.1230
hybrid,1,3.9590
hybrid,1,3.7700
hybrid,1,5.3140
hybrid,1,4.1000
hybrid,1,3.8860
hybrid,1,3.5420
hybrid,1,4.9150
hybrid,1,3.6410
hybrid,1,3.7550
hybrid,1,3.8790
hybrid,1,5.0360
hybrid,1,3.5050
hybrid,1,4.7590
hybrid,1,4.1190
hybrid,1,4.6200
hybrid,1,4.8930
hybrid,1,4.1140
hybrid,1,3.8800
hybrid,1,4.3020
hybrid,2,7.3760
hybrid,2,4.9240
hybrid,2,3.6900
hybrid,2,4.8560
hybrid,2,5.3210
hybrid,2,4.3680
hybrid,2,4.6890
hybrid,2,3.7110
hybrid,2,4.3680
hybrid,2,4.6760
hybrid,2,4.9950
hybrid,2,4.6000
hybrid,2,4.6330
hybrid,2,3.8510
hybrid,2,4.3960
hybrid,2,3.5960
hybrid,2,4.4470
hybrid,2,3.9570
hybrid,2,4.3460
hybrid,2,5.6220
hybrid,2,6.1400
hybrid,2,6.1930
hybrid,2,3.5950
hybrid,2,3.5300
hybrid,2,3.6510
hybrid,2,6.6000
hybrid,2,4.5650
hybrid,2,5.4550
hybrid,2,4.3150
hybrid,2,3.5770
hybrid,2,4.7340
hybrid,2,3.9670
hybrid,2,4.0400
hybrid,2,4.0090
hybrid,2,4.0370
hybrid,2,3.9190
hybrid,2,5.2720
hybrid,2,4.2900
hybrid,2,5.3670
hybrid,2,4.9470
hybrid,2,4.1420
hybrid,2,4.3280
hybrid,2,4.3940
hybrid,2,4.8220
hybrid,2,4.6290
hybrid,2,6.2080
hybrid,2,5.2910
hybrid,2,5.2020
hybrid,2,4.9010
hybrid,2,5.1970
hybrid,2,6.3370
hybrid,2,4.1520
hybrid,2,5.0080
hybrid,2,4.2330
hybrid,2,4.3010
hybrid,2,4.5080
hybrid,2,5.9700
hybrid,2,4.3140
hybrid,2,4.9200
hybrid,2,4.1380
hybrid,2,4.5530
hybrid,2,4.0550
hybrid,2,5.3410
hybrid,2,4.2060
hybrid,2,4.1920
hybrid,2,4.3840
hybrid,2,4.7240
hybrid,2,5.7230
hybrid,2,8.5060
hybrid,2,4.8120
hybrid,2,5.6410
hybrid,2,3.8930
hybrid,2,4.3430
hybrid,2,3.8460
hybrid,2,5.7600
hybrid,2,7.0260
hybrid,2,4.3740
hybrid,2,4.2360
hybrid,2,3.7650
hybrid,2,5.0600
hybrid,2,3.6050
hybrid,2,6.9230
hybrid,2,4.0700
hybrid,2,4.1640
hybrid,2,4.5700
hybrid,2,3.7270
hybrid,2,3.8570
hybrid,2,5.2030
hybrid,2,3.7790
hybrid,2,3.6020
hybrid,2,6.2090
hybrid,2,4.0080
hybrid,2,4.6190
hybrid,2,4.7550
hybrid,2,3.7070
hybrid,2,5.1040
hybrid,2,4.8060
hybrid,2,4.0170
hybrid,2,4.4920
hybrid,2,3.6410
hybrid,2,4.3820
hybrid,2,4.1000
hybrid,2,3.7810
hybrid,2,5.3110
hybrid,2,6.1230
hybrid,2,4.1530
hybrid,2,4.6080
hybrid,2,4.1640
hybrid,2,4.3120
hybrid,2,4.1520
hybrid,2,4.0690
hybrid,2,4.1470
hybrid,2,3.8480
hybrid,2,5.5300
hybrid,2,4.9830
hybrid,2,3.8560
hybrid,2,4.1630
hybrid,2,4.2340
hybrid,2,4.2330
hybrid,2,3.4270
hybrid,2,4.7670
hybrid,2,4.8450
hybrid,2,3.8370
hybrid,2,7.2410
hybrid,2,4.6730
hybrid,2,8.3800
hybrid,2,3.8440
hybrid,2,6.9510
hybrid,2,3.6900
hybrid,2,5.8050
hybrid,2,4.2400
hybrid,2,4.2030
hybrid,2,4.6980
hybrid,2,3.9950
hybrid,2,4.2450
hybrid,2,3.5070
hybrid,2,4.5620
hybrid,2,5.9040
hybrid,2,4.0830
hybrid,2,4.6570
hybrid,2,4.5440
hybrid,2,5.3420
hybrid,2,6.2890
hybrid,2,6.1350
hybrid,2,4.3000
hybrid,2,3.6870
hybrid,2,4.1230
hybrid,2,4.1700
hybrid,2,3.7770
hybrid,2,4.6600
hybrid,2,4.0990
hybrid,2,4.2500
hybrid,2,4.1880
hybrid,2,4.3000
hybrid,2,5.9020
hybrid,2,3.8210
hybrid,2,4.0690
hybrid,2,7.2110
hybrid,2,4.1390
hybrid,2,3.4710
hybrid,2,3.9520
hybrid,2,4.5990
hybrid,2,5.8630
hybrid,2,4.5920
hybrid,2,4.3570
hybrid,2,3.5700
hybrid,2,4.9280
hybrid,2,5.1570
hybrid,2,4.6940
hybrid,2,4.5670
hybrid,2,4.1400
hybrid,2,6.2280
hybrid,2,4.6570
hybrid,2,5.0760
hybrid,2,4.1460
hybrid,2,3.5920
hybrid,2,4.5350
hybrid,2,4.6260
hybrid,2,5.0750
hybrid,2,3.8790
hybrid,2,4.0290
hybrid,2,3.8130
hybrid,2,5.7710
hybrid,2,3.8980
hybrid,2,4.4600
hybrid,2,4.2840
hybrid,2,4.6820
hybrid,2,4.2410
hybrid,2,4.5760
hybrid,2,4.4000
hybrid,2,4.3200
hybrid,2,3.6190
hybrid,2,4.7200
hybrid,2,3.5520
hybrid,2,3.5170
hybrid,2,4.8030
hybrid,2,3.9480
hybrid,2,4.5500
hybrid,2,3.6170
hybrid,2,4.0740
hybrid,3,3.9030
hybrid,3,4.1230
hybrid,3,3.8990
hybrid,3,4.4840
hybrid,3,6.4130
hybrid,3,5.2530
hybrid,3,4.8750
hybrid,3,6.7060
hybrid,3,5.2860
hybrid,3,6.3210
hybrid,3,5.4120
hybrid,3,5.4940
hybrid,3,6.4890
hybrid,3,4.9140
hybrid,3,4.6040
hybrid,3,4.2720
hybrid,3,4.2000
hybrid,3,5.7300
hybrid,3,4.3180
hybrid,3,7.6400
hybrid,3,5.2970
hybrid,3,4.2130
hybrid,3,7.4310
hybrid,3,4.9720
hybrid,3,4.4400
hybrid,3,3.6380
hybrid,3,3.5530
hybrid,3,3.6380
hybrid,3,4.2760
hybrid,3,4.2600
hybrid,3,5.0060
hybrid,3,3.7970
hybrid,3,3.9890
hybrid,3,3.9260
hybrid,3,4.2820
hybrid,3,4.6320
hybrid,3,6.0210
hybrid,3,3.9950
hybrid,3,3.7470
hybrid,3,4.3730
hybrid,3,4.3140
hybrid,3,4.0400
hybrid,3,5.8130
hybrid,3,4.7920
hybrid,3,3.6150
hybrid,3,3.4580
hybrid,3,5.1310
hybrid,3,4.9750
hybrid,3,4.6140
hybrid,3,4.8310
hybrid,3,3.8300
hybrid,3,3.7380
hybrid,3,4.6100
hybrid,3,4.4110
hybrid,3,4.6710
hybrid,3,4.7780
hybrid,3,5.2190
hybrid,3,3.6570
hybrid,3,4.0440
hybrid,3,3.7890
hybrid,3,4.7910
hybrid,3,3.6010
hybrid,3,4.6450
hybrid,3,3.4890
hybrid,3,3.7500
hybrid,3,5.8040
hybrid,3,5.2400
hybrid,3,4.0660
hybrid,3,3.8960
hybrid,3,3.8330
hybrid,3,7.1310
hybrid,3,5.5150
hybrid,3,4.3260
hybrid,3,8.1190
hybrid,3,4.4820
hybrid,3,4.9330
hybrid,3,4.0310
hybrid,3,5.8750
hybrid,3,3.5700
hybrid,3,3.7160
hybrid,3,4.3520
hybrid,3,3.5560
hybrid,3,3.7530
hybrid,3,3.3430
hybrid,3,5.0780
hybrid,3,4.0740
hybrid,3,5.0200
hybrid,3,4.3890
hybrid,3,3.6880
hybrid,3,5.2990
hybrid,3,3.5110
hybrid,3,3.6260
hybrid,3,4.2200
hybrid,3,3.8250
hybrid,3,3.5200
hybrid,3,3.8920
hybrid,3,3.8020
hybrid,3,4.3480
hybrid,3,3.9700
hybrid,3,3.6850
hybrid,3,5.1790
hybrid,3,4.5190
hybrid,3,4.6500
hybrid,3,4.5010
hybrid,3,4.8040
hybrid,3,4.0290
hybrid,3,4.0560
hybrid,3,4.1830
hybrid,3,3.9400
hybrid,3,3.8870
hybrid,3,3.6840
hybrid,3,4.2980
hybrid,3,5.8900
hybrid,3,4.7160
hybrid,3,5.0090
hybrid,3,5.8450
hybrid,3,5.1980
hybrid,3,4.8210
hybrid,3,4.0030
hybrid,3,3.5200
hybrid,3,3.9240
hybrid,3,4.1510
hybrid,3,4.2650
hybrid,3,3.7520
hybrid,3,4.0900
hybrid,3,4.5120
hybrid,3,5.5500
hybrid,3,3.5870
hybrid,3,4.1420
hybrid,3,5.4940
hybrid,3,5.2200
hybrid,3,5.5350
hybrid,3,4.0670
hybrid,3,3.7810
hybrid,3,6.9080
hybrid,3,4.3310
hybrid,3,4.2940
hybrid,3,4.3020
hybrid,3,3.5790
hybrid,3,3.6680
hybrid,3,4.2260
hybrid,3,5.1640
hybrid,3,3.5420
hybrid,3,3.8870
hybrid,3,5.4180
hybrid,3,4.9910
hybrid,3,4.6240
hybrid,3,6.3490
hybrid,3,3.5140
hybrid,3,5.9140
hybrid,3,3.7460
hybrid,3,4.4550
hybrid,3,4.3510
hybrid,3,5.0720
hybrid,3,5.2340
hybrid,3,4.3500
hybrid,3,4.2140
hybrid,3,3.9560
hybrid,3,4.4710
hybrid,3,5.8940
hybrid,3,5.4920
hybrid,3,3.9000
hybrid,3,3.8860
hybrid,3,4.6820
hybrid,3,5.0190
hybrid,3,5.5300
hybrid,3,5.3900
hybrid,3,3.6880
hybrid,3,4.9480
hybrid,3,5.5330
hybrid,3,3.9960
hybrid,3,3.9590
hybrid,3,3.8300
hybrid,3,4.9920
hybrid,3,4.9710
hybrid,3,4.0670
hybrid,3,4.1990
hybrid,3,4.2310
hybrid,3,4.2150
hybrid,3,6.1530
hybrid,3,3.9190
hybrid,3,4.3190
hybrid,3,4.1710
hybrid,3,4.0850
hybrid,3,4.9020
hybrid,3,5.3900
hybrid,3,3.9990
hybrid,3,4.3640
hybrid,3,4.2860
hybrid,3,3.6420
hybrid,3,5.1460
hybrid,3,4.0390
hybrid,3,3.9290
hybrid,3,3.7390
hybrid,3,6.0300
hybrid,3,3.8040
hybrid,3,7.5620
hybrid,3,4.6110
hybrid,3,5.9070
hybrid,3,3.5120
pure,1,4.9510
pure,1,4.1320
pure,1,3.9620
pure,1,7.3170
pure,1,4.7630
pure,1,4.1030
pure,1,4.2230
pure,1,4.2140
pure,1,4.8310
pure,1,5.1130
pure,1,3.7290
pure,1,5.2890
pure,1,4.4330
pure,1,3.7630
pure,1,4.3080
pure,1,6.0440
pure,1,3.5180
pure,1,4.7000
pure,1,3.8930
pure,1,3.7100
pure,1,3.4590
pure,1,5.5430
pure,1,4.5560
pure,1,3.4470
pure,1,5.6700
pure,1,3.8050
pure,1,4.0270
pure,1,6.1000
pure,1,5.4580
pure,1,4.2950
pure,1,3.4660
pure,1,4.2160
pure,1,3.9950
pure,1,4.9980
pure,1,3.3470
pure,1,4.0500
pure,1,3.5240
pure,1,4.0940
pure,1,4.1560
pure,1,3.8640
pure,1,6.1960
pure,1,4.2230
pure,1,3.4500
pure,1,3.8840
pure,1,4.5290
pure,1,4.1880
pure,1,3.7580
pure,1,4.0970
pure,1,4.3320
pure,1,3.3380
pure,1,4.6070
pure,1,4.3680
pure,1,5.0730
pure,1,5.4870
pure,1,3.9090
pure,1,3.5330
pure,1,4.5890
pure,1,3.7200
pure,1,4.4000
pure,1,5.8920
pure,1,4.2730
pure,1,4.0070
pure,1,5.8760
pure,1,5.9020
pure,1,3.9980
pure,1,4.6470
pure,1,5.0220
pure,1,3.5760
pure,1,5.6410
pure,1,3.7850
pure,1,4.8870
pure,1,4.6900
pure,1,4.0590
pure,1,4.1040
