seq,arm,repeat,connect_ms,handshake_ms
4,deployed,1,11.5170,25.7530
4,deployed,1,12.1720,21.8480
4,deployed,1,11.7340,24.5580
4,deployed,1,12.0880,22.7130
4,deployed,1,13.9370,23.5860
4,deployed,1,14.9500,25.3720
4,deployed,1,13.0870,21.7600
4,deployed,1,13.0160,21.8730
4,deployed,1,12.0930,21.7060
4,deployed,1,11.4330,18.9980
4,deployed,1,11.8450,24.4210
4,deployed,1,12.8000,19.5650
4,deployed,1,12.4210,20.5520
4,deployed,1,12.7360,21.7260
4,deployed,1,12.5280,22.8410
4,deployed,1,12.5480,20.2570
4,deployed,1,12.2660,21.1150
4,deployed,1,14.6980,22.3250
4,deployed,1,11.8220,24.2710
4,deployed,1,13.9110,23.8440
4,deployed,1,12.2940,21.5440
4,deployed,1,47.4310,70.7120
4,deployed,1,12.4110,22.7300
4,deployed,1,12.0970,24.1620
4,deployed,1,11.4500,24.1580
4,deployed,1,11.9030,22.9780
4,deployed,1,12.4580,22.3350
4,deployed,1,13.2760,20.6010
4,deployed,1,12.4520,20.6630
4,deployed,1,12.9180,22.8360
4,deployed,1,13.0350,24.1980
4,deployed,1,11.8110,21.2970
4,deployed,1,10.7480,22.5220
4,deployed,1,12.8680,23.3640
4,deployed,1,12.3120,20.5000
4,deployed,1,12.0070,20.0720
4,deployed,1,12.2610,20.7510
4,deployed,1,13.4440,25.0240
4,deployed,1,13.0660,21.1660
4,deployed,1,12.0560,24.7560
4,deployed,1,12.2080,20.8470
4,deployed,1,12.0560,21.8440
4,deployed,1,12.7420,22.7790
4,deployed,1,13.4630,21.5620
4,deployed,1,12.7090,21.5080
4,deployed,1,12.9730,23.2380
4,deployed,1,12.6100,25.5920
4,deployed,1,12.4070,22.9900
4,deployed,1,12.7970,23.1620
4,deployed,1,12.3920,23.0050
4,deployed,1,11.8010,25.0900
4,deployed,1,12.5910,19.9070
4,deployed,1,10.8750,19.7970
4,deployed,1,11.1090,20.0720
4,deployed,1,11.6770,21.1390
4,deployed,1,11.0860,20.7210
4,deployed,1,11.2060,19.7410
4,deployed,1,11.3300,21.6590
4,deployed,1,11.4870,19.4630
4,deployed,1,12.0750,20.3120
4,deployed,1,11.9040,19.5420
4,deployed,1,11.1790,19.9480
5,classical,2,10.9510,14.3920
5,classical,2,11.4020,14.5890
5,classical,2,11.1740,14.0490
